slug_id,article_date,title,section,subsection,word_count,authors,url
10nat-atc-yakama-fader,2022-11-10 12:38:06,yakama fader,Briefing,,,,https://static01.nyt.com/slideshow/2022/11/10/briefing/yakama-fader.html
16evening-briefing-web,2023-01-16 17:49:17,Your Monday Evening Briefing,Briefing,,8154, JONATHAN WOLFE,https://www.nytimes.com/2023/01/16/briefing/urkaine-biden-china.html
17ambriefing-asia-web,2023-01-16 15:49:43,Your Tuesday Briefing: Chinese ‘Zero Covid’ Workers Revolt,Briefing,,6881, AMELIA NIERENBERG,https://www.nytimes.com/2023/01/16/briefing/china-test-covid-revolt-asia.html
16themorning-ambriefing-web,2023-01-16 06:57:22,Putin’s Wins and Losses,Briefing,,7329, GERMAN LOPEZ,https://www.nytimes.com/2023/01/16/briefing/putin-wins-losses.html
18ambriefing-asia-web,2023-01-17 16:29:29,Your Wednesday Briefing: China’s Dual Crises,Briefing,,6291, AMELIA NIERENBERG,https://www.nytimes.com/2023/01/17/briefing/china-economy-population-asia.html
17themorning-ambriefing-web,2023-01-17 06:19:00,A Better Covid Winter,Briefing,,7509, GERMAN LOPEZ,https://www.nytimes.com/2023/01/17/briefing/covid-infections.html
10themorning-ambriefing-web,2023-02-10 06:58:01,Did He Say ‘Bird?’,Briefing,,7518, DAVID LEONHARDT,https://www.nytimes.com/2023/02/10/briefing/artificial-intelligence-search.html
news-quiz-turkey-earthquake-balloon,2023-02-10 05:01:01,"The New York Times News Quiz, February 10, 2023",Briefing,,0,,https://www.nytimes.com/interactive/2023/02/10/briefing/news-quiz-turkey-earthquake-balloon.html
10ambriefing-europe-web,2023-02-10 01:09:45,Your Friday Briefing,Briefing,,6843, NATASHA FROST,https://www.nytimes.com/2023/02/10/briefing/earthquakes-turkey-recession-zelensky.html
09evening-briefing-web,2023-02-09 18:07:04,Your Thursday Evening Briefing,Briefing,,7919, MATTHEW CULLEN,https://www.nytimes.com/2023/02/09/briefing/turkey-syria-earthquake-burt-bacharach.html
10ambriefing-asia-web,2023-02-09 16:21:00,"Your Friday Briefing: 20,000 Dead in Turkey and Syria",Briefing,,4873, AMELIA NIERENBERG - MARIAH KREUTTER,https://www.nytimes.com/2023/02/09/briefing/syria-turkey-china-korea-asia.html
09themorning-ambriefing-web,2023-02-09 06:42:50,A Fight Against Sludge,Briefing,,8948, DAVID LEONHARDT,https://www.nytimes.com/2023/02/09/briefing/biden-junk-fees.html
09ambriefing-europe-web,2023-02-09 00:01:19,Your Thursday Briefing,Briefing,,6332, NATASHA FROST,https://www.nytimes.com/2023/02/09/briefing/syria-turkey-rescue-china-balloons-zelensky.html
08evening-briefing-web,2023-02-08 17:55:05,Your Wednesday Evening Briefing,Briefing,,7606, MATTHEW CULLEN,https://www.nytimes.com/2023/02/08/briefing/earthquake-erdogan-turkey-ukraine-britain-jets.html
